0
26,32
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,7,7,6,6,6,7,6,7,6,7,6,6,7,7,7
104,104,103,103,103,104,103,103,104,103,103,103,103,103,104,104,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,7
103,103,102,102,103,103,102,103,103,102,103,103,103,103,103,103,103,103,103,103,103,6,6,6,103,103,103,103,103,102,103,6
102,102,102,102,102,102,102,102,102,103,104,104,104,104,103,103,6,7,7,7,7,200,202,7,7,103,103,103,103,102,103,6
102,102,102,102,102,102,103,103,103,104,200,202,104,103,104,104,202,202,201,202,200,201,200,202,7,7,7,7,103,102,103,7
102,102,102,102,103,103,104,104,104,201,200,104,103,104,104,200,201,200,200,200,201,201,200,200,200,202,7,7,103,103,103,7
102,102,103,103,104,104,104,200,201,201,104,103,104,202,200,201,200,7,7,7,200,200,6,7,201,200,201,7,6,103,103,6
102,103,104,104,200,201,201,200,104,104,103,104,201,201,200,202,7,6,7,7,7,6,103,6,7,7,200,202,6,103,103,6
103,104,200,200,201,200,104,104,103,103,104,202,201,202,104,104,103,103,103,103,103,103,103,103,6,7,200,200,6,103,103,6
104,200,201,104,104,104,103,103,103,104,202,202,200,104,103,103,102,102,103,103,103,103,103,103,103,6,200,202,6,103,103,6
202,201,104,104,103,103,103,104,104,200,200,104,104,103,102,102,102,103,6,7,7,7,6,103,103,7,201,201,6,103,103,6
200,104,103,103,102,103,104,202,201,201,104,104,103,102,102,102,103,6,200,202,200,202,7,103,103,6,202,200,6,103,103,6
104,103,102,102,103,104,200,200,201,202,104,103,103,103,102,103,104,200,200,201,201,200,6,103,103,7,7,200,6,103,103,6
103,102,102,103,104,104,200,200,200,104,103,103,104,103,102,103,104,202,201,200,200,202,6,103,103,103,7,7,103,102,103,6
102,102,103,104,104,201,201,202,104,103,103,200,104,103,103,104,202,201,200,501,201,201,6,103,102,103,103,103,102,102,103,7
103,103,104,202,201,202,104,104,103,103,104,200,104,103,104,200,201,201,501,501,201,202,7,103,102,102,102,102,102,103,6,7
104,104,104,200,201,104,104,103,103,104,200,104,103,103,104,200,201,501,501,501,201,201,6,103,102,102,102,102,102,103,7,6
202,200,201,200,104,103,103,103,104,200,202,104,103,103,104,201,201,501,501,501,201,200,7,103,103,102,102,102,102,103,103,6
200,201,200,104,103,102,103,104,200,200,104,103,103,104,202,201,501,501,501,501,200,7,7,6,103,102,102,102,102,102,103,6
201,202,104,103,102,102,103,104,200,104,103,102,103,104,202,201,501,502,501,501,200,7,7,7,103,102,102,102,102,102,103,6
200,104,104,103,102,103,104,200,202,104,103,103,104,200,201,501,501,502,501,501,500,500,7,7,103,102,102,102,102,102,103,6
202,104,103,102,103,104,200,200,104,103,102,103,104,201,201,501,502,502,501,501,500,500,500,7,103,103,103,102,102,102,103,7
104,103,102,102,103,104,200,200,104,103,103,104,202,201,501,501,502,502,501,501,500,500,500,7,7,6,103,103,102,103,6,7
104,103,102,103,104,202,200,202,104,103,103,104,200,201,501,501,502,502,501,501,501,500,7,7,7,6,6,103,103,6,7,7
103,102,103,104,200,200,200,104,103,103,104,202,200,501,501,502,502,502,501,501,501,500,7,7,7,7,7,6,6,7,7,7
102,103,104,202,200,200,202,104,103,104,202,200,501,501,502,502,502,502,502,501,501,500,7,7,7,7,7,7,7,7,7,7
0
0
