0
13,12
200,201,201,200,201,200,200,201,200,104,200,200
201,201,200,201,0,0,0,0,104,104,200,201
201,200,0,0,0,0,104,104,104,104,200,200
200,0,0,104,104,104,103,103,103,104,102,200
201,0,104,104,104,103,103,103,103,102,102,102
201,0,104,103,103,103,103,103,103,102,102,108
201,0,104,103,103,103,103,103,102,102,108,106
0,104,103,103,103,103,103,102,108,108,106,106
104,103,104,104,103,102,102,108,108,106,500,500
104,104,104,104,103,102,108,107,106,500,501,501
201,201,104,103,102,113,107,106,500,501,501,502
201,201,104,103,102,108,106,500,501,501,502,502
201,201,104,102,113,107,106,500,501,501,502,502
4
3,5,0,30,25,0,30,20,0,1,0,Swordsman
5,5,0,30,25,0,30,20,0,1,0,Swordsman
10,4,0,30,25,0,30,20,0,1,2,Swordsman
6,6,0,80,25,0,30,20,0,1,2,Swordsman
8
4,2
3,3
5,2
4,3
6,2
5,3
7,2
6,3
