0
16,16
104,104,0,0,0,0,103,103,103,102,102,102,302,302,300,301
104,104,0,0,0,103,103,103,102,302,302,302,300,300,300,300
104,103,103,103,103,103,103,102,302,302,300,300,300,300,300,300
103,103,103,103,103,103,102,102,102,302,302,302,302,302,302,300
103,103,103,103,103,102,102,102,102,102,102,102,102,102,302,300
103,102,102,102,102,302,302,102,102,102,1,0,103,102,302,300
102,102,302,302,302,300,302,102,102,1,0,103,103,102,302,300
102,102,302,300,300,300,302,102,103,103,103,103,102,302,300,300
302,302,300,300,300,302,102,103,103,103,103,103,102,302,300,302
300,300,300,302,302,102,103,103,103,103,103,103,102,302,300,302
300,300,302,102,102,103,103,1,1,103,103,102,302,300,300,302
300,300,302,102,103,103,1,1,1,103,103,102,302,300,300,302
302,302,102,103,0,0,0,1,1,103,103,102,302,302,300,302
103,102,103,0,0,0,0,1,1,103,103,102,102,302,300,302
103,103,0,0,0,0,0,1,1,103,103,102,302,300,300,302
103,0,0,0,0,0,0,1,1,103,103,102,302,302,302,302
0
0
