200,201,201,200,201,200,200,201,200,200,200,200
201,201,200,201,200,1,1,0,0,201,200,201
201,200,1,1,1,0,0,0,115,104,200,200
200,200,1,1,0,0,0,104,115,104,115,200
201,1,1,0,0,0,0,0,103,111,103,111
200,1,0,0,0,0,104,104,111,111,112,112
201,1,0,0,0,104,104,103,103,113,108,107
200,0,0,104,115,115,111,111,112,108,302,302
200,0,104,104,104,104,111,113,107,302,300,300
201,0,115,104,103,111,112,108,302,302,300,301
200,200,104,111,103,113,107,302,300,300,301,301
200,200,103,111,111,112,108,302,300,301,301,301
200,200,111,111,113,108,302,300,301,301,301,301
